Date,Close,Open,High,Low,Adj Close,Volume
2021-01-04 10:00:00,559.45384,540.04184,559.45384,539.55654,559.45384,4211413
2021-01-04 10:30:00,558.96854,559.45384,560.90974,557.02734,558.96854,1901297
2021-01-04 11:00:00,560.42444,558.96854,560.42444,557.99794,560.42444,1623737
2021-01-04 11:30:00,563.33624,559.93914,563.82154,559.45384,563.33624,2101379
2021-01-04 12:00:00,561.39504,562.85094,564.30684,561.39504,561.39504,857201
2021-01-04 13:30:00,562.85094,561.39504,563.82154,560.90974,562.85094,1911703
2021-01-04 14:00:00,560.90974,562.36564,562.85094,557.99794,560.90974,1613846
2021-01-04 14:30:00,560.42444,560.42444,562.36564,559.45384,560.42444,1002163
2021-01-04 15:00:00,558.48324,559.93914,560.42444,557.51264,558.48324,1077889
2021-01-04 15:30:00,558.48324,558.48324,560.42444,557.99794,558.48324,1119616
2021-01-04 16:00:00,554.11554,558.96854,559.45384,554.11554,554.11554,2616833
2021-01-05 10:00:00,554.11554,553.63024,554.60084,547.32134,554.11554,3805479
2021-01-05 10:30:00,562.85094,554.11554,563.82154,553.63024,562.85094,2699462
2021-01-05 11:00:00,565.27744,563.33624,567.70394,562.85094,565.27744,2684832
2021-01-05 11:30:00,562.36564,565.76274,566.24804,562.36564,562.36564,887594
2021-01-05 12:00:00,561.39504,562.85094,563.82154,561.39504,561.39504,530084
2021-01-05 13:30:00,560.90974,561.88034,562.36564,559.93914,560.90974,861425
2021-01-05 14:00:00,565.27744,560.90974,565.76274,560.42444,565.27744,902946
2021-01-05 14:30:00,563.33624,564.79214,565.76274,562.36564,563.33624,675149
2021-01-05 15:00:00,563.33624,562.85094,563.82154,561.88034,563.33624,585925
2021-01-05 15:30:00,563.33624,563.33624,564.79214,561.39504,563.33624,931485
2021-01-05 16:00:00,564.79214,562.85094,564.79214,561.39504,564.79214,3786624
2021-01-06 10:00:00,575.95404,566.24804,579.83644,566.24804,575.95404,8075103
2021-01-06 10:30:00,577.89524,575.46874,578.38054,572.55694,577.89524,2975580
2021-01-06 11:00:00,574.01284,577.89524,578.38054,573.04224,574.01284,1425715
2021-01-06 11:30:00,572.07164,574.01284,574.49814,571.58634,572.07164,1222439
2021-01-06 12:00:00,574.98344,572.07164,575.46874,571.58634,574.98344,1202554
2021-01-06 13:30:00,575.95404,574.98344,575.95404,573.04224,575.95404,1114567
2021-01-06 14:00:00,577.40994,575.95404,577.89524,575.46874,577.40994,1449411
2021-01-06 14:30:00,577.40994,577.89524,577.89524,576.43934,577.40994,1480320
2021-01-06 15:00:00,577.89524,577.40994,577.89524,575.95404,577.89524,1463114
2021-01-06 15:30:00,579.35114,577.89524,579.35114,577.40994,579.35114,1977744
2021-01-06 16:00:00,577.40994,579.35114,579.35114,576.43934,577.40994,3149596
2021-01-07 10:00:00,560.42444,561.88034,565.76274,551.68904,560.42444,11396449
2021-01-07 10:30:00,554.11554,560.42444,560.90974,553.63024,554.11554,4084687
2021-01-07 11:00:00,557.51264,554.60084,559.45384,554.11554,557.51264,2564906
2021-01-07 11:30:00,555.57144,557.51264,557.51264,555.08614,555.57144,1868946
2021-01-07 12:00:00,551.68904,555.57144,555.57144,550.23314,551.68904,3846484
2021-01-07 13:30:00,554.11554,551.68904,555.57144,551.20374,554.11554,1934369
2021-01-07 14:00:00,554.11554,554.11554,554.60084,552.17434,554.11554,1571501
2021-01-07 14:30:00,554.11554,553.63024,555.08614,550.23314,554.11554,2583452
2021-01-07 15:00:00,555.57144,554.11554,556.05674,553.14494,555.57144,1542550
2021-01-07 15:30:00,556.54204,555.57144,557.99794,555.08614,556.54204,1688027
2021-01-07 16:00:00,550.23314,556.54204,557.99794,550.23314,550.23314,6456415
2021-01-08 10:00:00,555.57144,550.23314,559.45384,549.26254,555.57144,5379865
2021-01-08 10:30:00,557.51264,556.05674,559.45384,556.05674,557.51264,1990932
2021-01-08 11:00:00,557.02734,557.02734,558.48324,555.08614,557.02734,1139191
2021-01-08 11:30:00,556.54204,557.02734,559.45384,556.54204,556.54204,1055223
2021-01-08 12:00:00,557.99794,557.02734,558.48324,556.54204,557.99794,857201
2021-01-08 13:30:00,555.57144,557.99794,559.45384,555.57144,555.57144,1539974
2021-01-08 14:00:00,550.23314,556.05674,557.02734,549.74784,550.23314,2367091
2021-01-08 14:30:00,554.11554,549.74784,554.11554,549.26254,554.11554,1411909
2021-01-08 15:00:00,556.54204,554.11554,557.02734,553.63024,556.54204,1106531
2021-01-08 15:30:00,557.51264,557.02734,558.48324,556.05674,557.51264,1221820
