Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,558.000000,583.000000,557.500000,572.500000,570.943481,20784101
2021-01-05,572.000000,586.500000,565.500000,583.500000,581.913574,18668061
2021-01-06,585.000000,599.000000,585.000000,596.500000,594.878235,25712527
2021-01-07,580.500000,584.500000,568.500000,568.500000,566.954346,39877643
2021-01-08,568.500000,578.000000,567.500000,573.000000,571.442139,22863792
2021-01-11,581.000000,602.000000,581.000000,591.000000,589.393188,38403073
2021-01-12,586.500000,596.500000,586.000000,590.000000,588.395874,20170790
2021-01-13,589.500000,602.500000,588.500000,596.000000,594.379578,22609570
2021-01-14,608.000000,629.500000,607.000000,629.500000,627.788513,36613986
2021-01-15,629.500000,646.000000,618.000000,645.000000,643.246399,30660064
2021-01-18,638.500000,667.500000,635.500000,657.000000,655.213745,33502829
2021-01-19,665.000000,673.500000,648.000000,655.000000,653.219177,30322011
2021-01-20,671.000000,680.000000,658.000000,679.500000,677.652588,36213541
2021-01-21,680.500000,700.000000,674.000000,682.500000,680.644409,27754649
2021-01-22,690.000000,699.500000,684.500000,691.000000,689.121277,30329537
2021-01-25,707.000000,767.500000,702.500000,766.500000,764.416016,46962411
2021-01-26,745.000000,749.000000,715.500000,718.500000,716.546509,49968534
2021-01-27,716.000000,729.000000,698.500000,701.500000,699.592773,37385988
2021-01-28,700.000000,719.500000,681.000000,681.000000,679.148499,37289825
2021-01-29,695.000000,717.000000,681.500000,681.500000,679.647156,33974509
2021-02-01,698.000000,727.500000,698.000000,712.000000,710.064209,28643429
2021-02-02,740.000000,748.000000,723.500000,724.500000,722.530212,26327061
2021-02-03,734.000000,739.500000,723.000000,736.000000,733.998962,16979833
2021-02-04,725.000000,742.500000,710.500000,735.500000,733.500305,23639193
2021-02-05,748.000000,757.000000,732.500000,733.000000,731.007141,18664841
2021-02-08,748.000000,750.000000,735.000000,736.500000,734.497620,14818290
2021-02-09,745.500000,748.500000,737.000000,740.500000,738.486694,10651844
2021-02-10,759.000000,770.000000,751.500000,761.000000,758.930969,16924664
2021-02-11,757.000000,757.000000,757.000000,757.000000,754.941833,0
2021-02-16,762.500000,766.500000,741.000000,745.000000,742.974487,23579965
2021-02-17,741.000000,763.000000,730.500000,757.500000,755.440491,16036516
2021-02-18,767.000000,775.500000,745.000000,747.500000,745.467712,24241947
2021-02-19,747.000000,747.500000,726.000000,741.000000,738.985352,22589560
2021-02-22,749.500000,749.500000,711.000000,713.500000,711.560120,27296535
2021-02-23,697.000000,722.000000,697.000000,707.000000,705.077820,26933971
2021-02-24,709.500000,715.500000,680.000000,687.000000,685.132202,41585608
2021-02-25,700.000000,717.000000,691.500000,691.500000,689.619934,24008360
2021-02-26,669.000000,686.500000,662.500000,662.500000,660.698792,37077103
2021-03-01,692.000000,697.000000,679.000000,697.000000,695.104980,27079038
2021-03-02,712.000000,722.000000,692.500000,698.000000,696.102295,23080003
2021-03-03,698.000000,723.000000,690.000000,723.000000,721.034302,18285294
2021-03-04,702.000000,709.500000,690.000000,690.000000,688.124023,24497606
2021-03-05,668.500000,695.000000,667.000000,679.000000,677.153931,27137066
2021-03-08,683.500000,689.000000,641.000000,642.500000,640.753174,36233199
